entity_id,vehicle_id,vehicle_label,trip_id,route_id,route_short_name,route_long_name,direction_id,trip_headsign,latitude,longitude,bearing,speed_mps,current_status,stop_id,stop_name,timestamp_local,feed_header_timestamp_local
vehicle_position_57147,57147,Tramvajs 11,TRAM11-09-1-251208-ba-1400,riga_tram_11,11,Ausekļa iela - Mežaparks,1.0,Ausekļa iela,57.00684356689453,24.163339614868164,60.0,0.0,2,3211,Ezermalas iela,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57169,57169,Tramvajs 11,TRAM11-06-1-251208-ba-1340,riga_tram_11,11,Ausekļa iela - Mežaparks,1.0,Ausekļa iela,56.960411071777344,24.12932586669922,204.0,0.0,2,3225,Brīvības iela,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57171,57171,Tramvajs 11,TRAM11-03-1-251208-ab-1350,riga_tram_11,11,Ausekļa iela - Mežaparks,0.0,Mežaparks,56.949710845947266,24.11275291442871,142.0,8.0600004196167,2,3099,Nacionālā opera,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57180,57180,Tramvajs 1,TRAM1-09-1-250901-ba-1330,riga_tram_1,1,Imanta - Jugla,1.0,Imanta,56.9572639465332,24.1335506439209,228.0,0.0,2,3123,Ģertrūdes iela,2026-04-01T13:56:16+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57201,57201,Tramvajs 1,TRAM1-01-1-250901-ab-1400,riga_tram_1,1,Imanta - Jugla,0.0,Jugla,56.96615982055664,24.00824546813965,134.0,0.0,2,3031,Imanta,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57539,57539,Tramvajs 7,TRAM7-01-1-251208-ba-1410,riga_tram_7,7,Ausekļa iela - Ķengarags,1.0,Ausekļa iela,56.906410217285156,24.18804359436035,132.0,0.0,2,3148,Eglaines iela/Dole,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57561,57561,Tramvajs 7,TRAM7-05-1-251208-ab-1350,riga_tram_7,7,Ausekļa iela - Ķengarags,0.0,Ķengarags,56.94413757324219,24.11444664001465,238.0,0.0,2,3011,Centrāltirgus,2026-04-01T13:56:07+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57572,57572,Tramvajs 14,TRAM14-02-1-251028-ba-1330,riga_tram_14,14,Iļģuciems - Ķengarags,1.0,Iļģuciems,56.94565200805664,24.11508560180664,344.0,0.0,2,3100,13.janvāra iela,2026-04-01T13:56:07+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57583,57583,Tramvajs 7,TRAM7-10-1-251208-ba-1400,riga_tram_7,7,Ausekļa iela - Ķengarags,1.0,Ausekļa iela,56.90630340576172,24.18831443786621,336.0,0.0,2,3148,Eglaines iela/Dole,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57604,57604,Tramvajs 7,TRAM7-07-1-251208-ba-1330,riga_tram_7,7,Ausekļa iela - Ķengarags,1.0,Ausekļa iela,56.95530700683594,24.1025447845459,334.0,12.220000267028809,2,3063,Ausekļa iela,2026-04-01T13:56:05+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57615,57615,Tramvajs 14,TRAM14-04-1-251028-ab-1330,riga_tram_14,14,Iļģuciems - Ķengarags,0.0,Ķengarags,56.93880081176758,24.132091522216797,96.0,11.109999656677246,2,3171,Katoļu iela,2026-04-01T13:56:12+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57626,57626,Tramvajs 14,TRAM14-01-1-251028-ab-1400,riga_tram_14,14,Iļģuciems - Ķengarags,0.0,Ķengarags,56.965084075927734,24.069576263427734,216.0,0.0,2,3055,Iļģuciems,2026-04-01T13:56:10+03:00,2026-04-01T13:56:21+03:00
vehicle_position_57648,57648,Tramvajs 14,TRAM14-03-1-251028-ba-1400,riga_tram_14,14,Iļģuciems - Ķengarags,1.0,Iļģuciems,56.905601501464844,24.188518524169922,92.0,0.0,2,3148,Eglaines iela/Dole,2026-04-01T13:56:07+03:00,2026-04-01T13:56:21+03:00
vehicle_position_58022,58022,Tramvajs 1,TRAM1-24-1-250901-ab-1340,riga_tram_1,1,Imanta - Jugla,0.0,Jugla,56.94563293457031,24.07431411743164,154.0,5.829999923706055,2,3041,Nometņu iela,2026-04-01T13:56:15+03:00,2026-04-01T13:56:21+03:00
vehicle_position_58501,58501,Tramvajs 1,TRAM1-05-1-250901-ba-1310,riga_tram_1,1,Imanta - Jugla,1.0,Imanta,56.94623947143555,24.07390785217285,338.0,6.940000057220459,2,3046,Mārtiņa iela,2026-04-01T13:56:08+03:00,2026-04-01T13:56:21+03:00
vehicle_position_58523,58523,Tramvajs 1,TRAM1-18-1-250901-ab-1310,riga_tram_1,1,Imanta - Jugla,0.0,Jugla,56.9705696105957,24.15805435180664,62.0,6.110000133514404,2,3135,VEF,2026-04-01T13:56:18+03:00,2026-04-01T13:56:21+03:00
vehicle_position_58545,58545,Tramvajs 1,TRAM1-13-1-250901-ba-1350,riga_tram_1,1,Imanta - Jugla,1.0,Imanta,56.98434066772461,24.202747344970703,262.0,3.059999942779541,2,3111,Alfa,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
vehicle_position_61446,61446,Autobuss 39,AUTO39-01-1-260323-ba-1340,,,,,,56.946868896484375,24.061864852905273,126.0,11.390000343322754,2,1238,Melnsila iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_61457,61457,Autobuss 38,AUTO38-01-1-260323-ab-1350,,,,,,56.94020080566406,24.092172622680664,226.0,7.78000020980835,2,1111,Uzvaras parks,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_61468,61468,Autobuss 54,AUTO54-03-1-260323-ba-1400,,,,,,56.98866271972656,24.082883834838867,336.0,10.279999732971191,2,1136,Voleri,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_65067,65067,Autobuss 31,AUTO31-03-1-260323-ab-1330,,,,,,56.918941497802734,24.17323112487793,336.0,5.28000020980835,2,0198,Ķengaraga iela,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_65154,65154,Autobuss 32,AUTO32-01-1-260323-ab-1350,,,,,,56.945587158203125,24.113435745239258,236.0,0.0,2,1025,13.janvāra iela,2026-04-01T13:56:14+03:00,2026-04-01T13:56:21+03:00
vehicle_position_65263,65263,Autobuss 8,AUTO8-02-1-260323-ba-1420,,,,,,56.94796371459961,24.025352478027344,110.0,0.0,2,1435a,Zolitūdes D/P,2026-04-01T13:56:17+03:00,2026-04-01T13:56:21+03:00
vehicle_position_67013,67013,Autobuss 56,AUTO56-01-1-260129-acb-1300,riga_bus_56,56,Daugavgrīva - Ziepniekkalns,0.0,Ziepniekkalns,56.936119079589844,24.0465145111084,66.0,0.0,2,1546,Kauguru iela,2026-04-01T13:56:18+03:00,2026-04-01T13:56:21+03:00
vehicle_position_67068,67068,Autobuss 10,AUTO10-01-1-260323-ba-1320,,,,,,56.92191696166992,24.07683563232422,118.0,0.8299999833106995,2,1359,Telts iela,2026-04-01T13:56:03+03:00,2026-04-01T13:56:21+03:00
vehicle_position_67133,67133,Autobuss 56,AUTO56-02-1-260129-bca-1230,riga_bus_56,56,Daugavgrīva - Ziepniekkalns,1.0,Daugavgrīva,57.03913497924805,24.025745391845703,234.0,9.720000267028809,2,1160,Zvīņu iela,2026-04-01T13:56:13+03:00,2026-04-01T13:56:21+03:00
